========================================
Auto-Start Baseline Training Script
========================================

Monitoring GPU: 1
Target steps: 1100000
Check interval: 30s

[2026-03-06 10:07:26] Starting monitoring...

[10:07:27] Step: 927390/1100000 (84.3%) | Process: Running
[10:07:59] Step: 928340/1100000 (84.4%) | Process: Running
[10:08:31] Step: 928340/1100000 (84.4%) | Process: Running
[10:09:06] Step: 928340/1100000 (84.4%) | Process: Running
[10:09:38] Step: 928340/1100000 (84.4%) | Process: Running
[10:10:10] Step: 929300/1100000 (84.5%) | Process: Running
[10:10:42] Step: 929300/1100000 (84.5%) | Process: Running
[10:11:13] Step: 929300/1100000 (84.5%) | Process: Running
[10:11:45] Step: 929300/1100000 (84.5%) | Process: Running
[10:12:17] Step: 930260/1100000 (84.6%) | Process: Running
[10:12:50] Step: 930260/1100000 (84.6%) | Process: Running
[10:13:22] Step: 930260/1100000 (84.6%) | Process: Running
[10:13:54] Step: 931000/1100000 (84.6%) | Process: Running
[10:14:26] Step: 931000/1100000 (84.6%) | Process: Running
[10:14:58] Step: 931000/1100000 (84.6%) | Process: Running
[10:15:30] Step: 931000/1100000 (84.6%) | Process: Running
[10:16:02] Step: 931960/1100000 (84.7%) | Process: Running
[10:16:33] Step: 931960/1100000 (84.7%) | Process: Running
[10:17:05] Step: 931960/1100000 (84.7%) | Process: Running
[10:17:37] Step: 931960/1100000 (84.7%) | Process: Running
[10:18:14] Step: 932910/1100000 (84.8%) | Process: Running
[10:18:46] Step: 932910/1100000 (84.8%) | Process: Running
[10:19:18] Step: 932910/1100000 (84.8%) | Process: Running
[10:19:50] Step: 932910/1100000 (84.8%) | Process: Running
[10:20:22] Step: 933870/1100000 (84.9%) | Process: Running
[10:20:54] Step: 933870/1100000 (84.9%) | Process: Running
[10:21:26] Step: 933870/1100000 (84.9%) | Process: Running
[10:21:58] Step: 934830/1100000 (85.0%) | Process: Running
[10:22:30] Step: 934830/1100000 (85.0%) | Process: Running
[10:23:02] Step: 934830/1100000 (85.0%) | Process: Running
[10:23:35] Step: 934830/1100000 (85.0%) | Process: Running
[10:24:07] Step: 935800/1100000 (85.1%) | Process: Running
[10:24:39] Step: 935800/1100000 (85.1%) | Process: Running
[10:25:11] Step: 935800/1100000 (85.1%) | Process: Running
[10:25:43] Step: 935800/1100000 (85.1%) | Process: Running
[10:26:15] Step: 936760/1100000 (85.2%) | Process: Running
[10:26:47] Step: 936760/1100000 (85.2%) | Process: Running
[10:27:22] Step: 936760/1100000 (85.2%) | Process: Running
[10:27:59] Step: 936760/1100000 (85.2%) | Process: Running
[10:28:31] Step: 937650/1100000 (85.2%) | Process: Running
[10:29:03] Step: 937650/1100000 (85.2%) | Process: Running
[10:29:35] Step: 937650/1100000 (85.2%) | Process: Running
[10:30:07] Step: 937650/1100000 (85.2%) | Process: Running
[10:30:39] Step: 938620/1100000 (85.3%) | Process: Running
[10:31:11] Step: 938620/1100000 (85.3%) | Process: Running
[10:31:43] Step: 938620/1100000 (85.3%) | Process: Running
[10:32:15] Step: 938620/1100000 (85.3%) | Process: Running
[10:32:47] Step: 939580/1100000 (85.4%) | Process: Running
[10:33:19] Step: 939580/1100000 (85.4%) | Process: Running
[10:33:51] Step: 939580/1100000 (85.4%) | Process: Running
[10:34:22] Step: 940530/1100000 (85.5%) | Process: Running
[10:34:54] Step: 940530/1100000 (85.5%) | Process: Running
[10:35:26] Step: 940530/1100000 (85.5%) | Process: Running
[10:35:58] Step: 940530/1100000 (85.5%) | Process: Running
[10:36:30] Step: 941480/1100000 (85.6%) | Process: Running
[10:37:02] Step: 941480/1100000 (85.6%) | Process: Running
[10:37:34] Step: 941480/1100000 (85.6%) | Process: Running
[10:38:06] Step: 941480/1100000 (85.6%) | Process: Running
[10:38:38] Step: 942450/1100000 (85.7%) | Process: Running
[10:39:10] Step: 942450/1100000 (85.7%) | Process: Running
[10:39:42] Step: 942450/1100000 (85.7%) | Process: Running
[10:40:13] Step: 942450/1100000 (85.7%) | Process: Running
[10:40:45] Step: 943410/1100000 (85.8%) | Process: Running
[10:41:17] Step: 943410/1100000 (85.8%) | Process: Running
[10:41:49] Step: 943410/1100000 (85.8%) | Process: Running
[10:42:21] Step: 944370/1100000 (85.9%) | Process: Running
[10:42:53] Step: 944370/1100000 (85.9%) | Process: Running
[10:43:25] Step: 944370/1100000 (85.9%) | Process: Running
[10:43:57] Step: 944370/1100000 (85.9%) | Process: Running
[10:44:29] Step: 945080/1100000 (85.9%) | Process: Running
[10:45:01] Step: 945080/1100000 (85.9%) | Process: Running
[10:45:33] Step: 945080/1100000 (85.9%) | Process: Running
[10:46:05] Step: 945080/1100000 (85.9%) | Process: Running
[10:46:37] Step: 946050/1100000 (86.0%) | Process: Running
[10:47:09] Step: 946050/1100000 (86.0%) | Process: Running
[10:47:41] Step: 946050/1100000 (86.0%) | Process: Running
[10:48:13] Step: 946050/1100000 (86.0%) | Process: Running
[10:48:44] Step: 947000/1100000 (86.1%) | Process: Running
[10:49:16] Step: 947000/1100000 (86.1%) | Process: Running
[10:49:48] Step: 947000/1100000 (86.1%) | Process: Running
[10:50:20] Step: 947000/1100000 (86.1%) | Process: Running
[10:50:52] Step: 947960/1100000 (86.2%) | Process: Running
[10:51:24] Step: 947960/1100000 (86.2%) | Process: Running
[10:51:56] Step: 947960/1100000 (86.2%) | Process: Running
[10:52:28] Step: 948920/1100000 (86.3%) | Process: Running
[10:53:00] Step: 948920/1100000 (86.3%) | Process: Running
[10:53:32] Step: 948920/1100000 (86.3%) | Process: Running
[10:54:04] Step: 948920/1100000 (86.3%) | Process: Running
[10:54:36] Step: 949880/1100000 (86.4%) | Process: Running
[10:55:08] Step: 949880/1100000 (86.4%) | Process: Running
[10:55:39] Step: 949880/1100000 (86.4%) | Process: Running
[10:56:11] Step: 949880/1100000 (86.4%) | Process: Running
